route_id,total_stops,planned_distance,actual_distance,deviation_count,sla_violation_count,route_start_time,route_end_time,distance_deviation,distance_efficiency_ratio,route_duration,sla_violation_rate,deviation_rate,driver_id,week_id,country,is_inefficient_route,has_sla_violation,high_deviation_route,positive_deviation_route,distance_efficiency_bucket,sla_risk_level,distance_loss_per_stop
118,16,24.197965854,21.323853133,13,5,217.175,568.459,-2.8741127209999995,0.8812250278250187,351.28399999999993,0.3125,0.8125,42,0,1,0,1,1,1,efficient,high,-0.17963204506249997
119,12,95.27457219600001,87.331700409,9,1,225.357,501.801,-7.942871787000001,0.916631776937714,276.44399999999996,0.08333333333333333,0.75,14,0,1,0,1,1,1,efficient,low,-0.6619059822500001
120,23,61.243157712,50.581955498,21,1,229.283,494.702,-10.661202214,0.8259201090816544,265.419,0.043478260869565216,0.9130434782608695,25,0,1,0,1,1,1,efficient,low,-0.46353053104347824
121,13,34.597704628,33.9432246,5,0,229.43,617.962,-0.6544800280000018,0.9810831373052902,388.532,0.0,0.38461538461538464,31,0,1,0,0,0,1,efficient,none,-0.05034461753846168
122,14,87.78222412299999,99.015951693,11,3,234.313,696.567,11.233727570000013,1.1279726924469284,462.254,0.21428571428571427,0.7857142857142857,24,0,1,1,1,1,0,slightly inefficient,high,0.8024091121428581
123,17,41.27057857,41.793095008,8,5,235.882,690.643,0.5225164380000038,1.0126607490397488,454.761,0.29411764705882354,0.47058823529411764,36,0,1,0,1,0,0,slightly inefficient,high,0.030736261058823752
124,7,34.384353501999996,35.20690557,6,0,176.834,483.436,0.8225520680000074,1.0239222781359598,306.602,0.0,0.8571428571428571,34,0,0,0,0,1,0,slightly inefficient,none,0.11750743828571533
125,10,47.143071939,47.143071939,0,0,179.343,585.623,0.0,1.0,406.2800000000001,0.0,0.0,101,0,0,0,0,0,0,efficient,none,0.0
126,11,46.796883337,51.577261343,7,0,239.691,476.729,4.7803780060000065,1.1021516320130746,237.03799999999998,0.0,0.6363636363636364,22,0,1,1,0,1,0,slightly inefficient,none,0.4345798187272733
127,19,43.982165482,42.269384004,14,1,242.615,717.395,-1.7127814779999966,0.9610573636102351,474.78,0.05263157894736842,0.7368421052631579,28,0,1,0,1,1,1,efficient,low,-0.09014639357894719
128,16,39.974434732,40.195628272,5,4,185.598,688.611,0.22119354000000158,1.0055333750554059,503.013,0.25,0.3125,35,0,0,0,1,0,0,slightly inefficient,high,0.013824596250000099
129,13,39.426538689,42.03688613,10,0,187.66,637.21,2.610347441000002,1.0662078774297346,449.55000000000007,0.0,0.7692307692307693,32,0,0,0,0,1,0,slightly inefficient,none,0.20079595700000014
130,14,58.253446139,54.153690068,7,0,248.771,625.66,-4.0997560709999945,0.9296220851687046,376.889,0.0,0.5,30,0,1,0,0,0,1,efficient,none,-0.2928397193571425
131,9,52.756114724,50.812930977,6,1,191.141,555.401,-1.943183746999999,0.9631666631031114,364.26,0.1111111111111111,0.6666666666666666,38,0,0,0,1,1,1,efficient,low,-0.21590930522222213
132,16,23.166311437,23.286906597,10,6,252.58,632.218,0.12059516000000059,1.0052056262960962,379.6379999999999,0.375,0.625,23,0,1,0,1,1,0,slightly inefficient,high,0.007537197500000037
133,3,55.30412784,55.30412784,0,0,76.013,308.947,0.0,1.0,232.934,0.0,0.0,64,0,0,0,0,0,0,efficient,none,0.0
134,11,124.08320424,141.402553672,8,2,256.254,718.38,17.31934943200001,1.1395785153847346,462.126,0.18181818181818182,0.7272727272727273,61,0,1,1,1,1,0,slightly inefficient,low,1.574486312000001
135,12,86.019610546,78.319906283,11,1,197.488,664.117,-7.699704263000001,0.9104889662470339,466.62899999999996,0.08333333333333333,0.9166666666666666,58,0,0,0,1,1,1,efficient,low,-0.6416420219166667
136,8,20.584245478,23.804327421,4,2,257.71,538.934,3.2200819430000003,1.1564342956578881,281.224,0.25,0.5,41,0,1,1,1,0,0,slightly inefficient,high,0.40251024287500003
137,8,44.665453947,44.665453947,0,0,81.655,437.728,0.0,1.0,356.073,0.0,0.0,102,0,0,0,0,0,0,efficient,none,0.0
138,8,68.098005776,68.098005776,0,0,208.217,567.942,0.0,1.0,359.725,0.0,0.0,103,0,0,0,0,0,0,efficient,none,0.0
139,10,26.579910166,23.696538539,8,0,211.234,508.226,-2.8833716270000025,0.8915206406269838,296.99199999999996,0.0,0.8,88,0,0,0,0,1,1,efficient,none,-0.28833716270000026
140,19,23.221056417,23.811569475,11,1,273.505,616.398,0.5905130579999991,1.025430068615125,342.89300000000003,0.05263157894736842,0.5789473684210527,43,0,1,0,1,1,0,slightly inefficient,low,0.0310796346315789
